"Section","Category","Item","Value","Description","Status"
"PROJECT_INFO","General","Project_Name","HamlatAI","AI-Powered Political Campaign Management Platform","✅ Complete"
"PROJECT_INFO","General","Purpose","Iraqi Election Candidate Data Collection","Focus on Kurdistan priority regions","✅ Complete"
"PROJECT_INFO","General","Architecture","Full-Stack","React Frontend + Node.js Backend + PostgreSQL","✅ Complete"
"PROJECT_INFO","General","Timeline","1-Month","Marketing campaign execution window","⏰ Time-Sensitive"
"PRIORITY_SYSTEM","Collection","Kurdistan_Priority","3x Frequency","Erbil, Sulaymaniyah, Duhok, Halabja","✅ Implemented"
"PRIORITY_SYSTEM","Collection","Baghdad_Priority","1x Frequency","Central Iraq political hub","✅ Implemented"
"PRIORITY_SYSTEM","Collection","Basra_Priority","1x Frequency","Southern economic center","✅ Implemented"
"PRIORITY_SYSTEM","Collection","Najaf_Karbala_Priority","1x Frequency","Religious significance","✅ Implemented"
"PRIORITY_SYSTEM","Collection","Kirkuk_Priority","1x Frequency","Disputed territory","✅ Implemented"
"PRIORITY_SYSTEM","Languages","Kurdish_Sorani","✅ Supported","Southern Kurdish dialect","High Priority"
"PRIORITY_SYSTEM","Languages","Kurdish_Badini","✅ Supported","Northern Kurdish dialect","High Priority"
"PRIORITY_SYSTEM","Languages","Kurdish_Kurmanji","✅ Supported","Northwestern Kurdish dialect","High Priority"
"PRIORITY_SYSTEM","Languages","Arabic","✅ Supported","Iraqi dialects + Modern Standard","Medium Priority"
"PRIORITY_SYSTEM","Languages","English","✅ Supported","International communications","Low Priority"
"DATA_SOURCES","Social_Media","Facebook","✅ Integrated","Graph API integration","High Priority"
"DATA_SOURCES","Social_Media","Instagram","✅ Integrated","Basic Display API","High Priority"
"DATA_SOURCES","Social_Media","YouTube","✅ Integrated","Data API v3","High Priority"
"DATA_SOURCES","Social_Media","Twitter","✅ Integrated","API v2","High Priority"
"DATA_SOURCES","Social_Media","TikTok","✅ Integrated","TikTok for Developers","Medium Priority"
"DATA_SOURCES","Web_Scraping","News_Websites","✅ Implemented","Al Jazeera, Rudaw, etc.","Medium Priority"
"DATA_SOURCES","Web_Scraping","Government_Portals","✅ Implemented","Official election sites","Medium Priority"
"DATA_SOURCES","Web_Scraping","Political_Parties","✅ Implemented","Party websites","Medium Priority"
"COLLECTION_FREQUENCY","Timing","Kurdistan_Collection","Every 5 minutes","3x normal frequency","✅ Active"
"COLLECTION_FREQUENCY","Timing","General_Collection","Every 15 minutes","Standard frequency","✅ Active"
"COLLECTION_FREQUENCY","Timing","Deep_Collection","Every 1 hour","Comprehensive scan","✅ Active"
"COLLECTION_FREQUENCY","Timing","Aggressive_Collection","Every 15 minutes","All platforms","✅ Active"
"DATABASE","Tables","kurdistan_mentions","✅ Created","Kurdistan priority data storage","High Priority"
"DATABASE","Tables","social_mentions","✅ Created","General social media data","High Priority"
"DATABASE","Tables","candidates","✅ Created","Candidate profiles and scoring","High Priority"
"DATABASE","Tables","scraped_content","✅ Created","Web scraping results","Medium Priority"
"DATABASE","Features","Persistence","✅ Implemented","No data loss guarantee","High Priority"
"DATABASE","Features","Transactions","✅ Implemented","Data integrity","High Priority"
"DATABASE","Features","Migrations","✅ Implemented","Schema version control","High Priority"
"MONITORING","Reporting","Status_Reports","Every 10 minutes","System health and statistics","✅ Active"
"MONITORING","Reporting","Kurdistan_Tracking","✅ Implemented","Priority data monitoring","High Priority"
"MONITORING","Reporting","Platform_Stats","✅ Implemented","Social media platform tracking","Medium Priority"
"MONITORING","Reporting","Error_Logging","✅ Implemented","Comprehensive error tracking","High Priority"
"API_ENDPOINTS","Health","/health","✅ Available","System health check","✅ Ready"
"API_ENDPOINTS","Collection","/api/social/collection-status","✅ Available","Current collection statistics","✅ Ready"
"API_ENDPOINTS","Priority","/api/social/priority-analytics","✅ Available","Kurdistan priority data","✅ Ready"
"API_ENDPOINTS","Candidates","/api/candidates","✅ Available","Candidate database","✅ Ready"
"API_ENDPOINTS","Export","/api/export/*","✅ Available","Data export in multiple formats","✅ Ready"
"BACKGROUND_JOBS","Cron_Jobs","Priority_Collection","✅ Running","Kurdistan every 5 minutes","✅ Active"
"BACKGROUND_JOBS","Cron_Jobs","General_Collection","✅ Running","Social media every 15 minutes","✅ Active"
"BACKGROUND_JOBS","Cron_Jobs","Web_Scraping","✅ Running","News and government sites","✅ Active"
